SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
72,3.8029992,8.69E-04,0.26295036,0.16333333,49,9,FALSE,17010,46.36,49,0,24,0.78438468,FALSE,0,17010,2906854,0.06689755
73,3.76265286,7.59E-04,0.26576993,0.20229885,60,9,FALSE,2489,49.2,60,0,30,0.78748824,FALSE,0,2489,1838932,0.05687861
75,4.45282514,0,0.22457653,1,4,9,FALSE,3426,47,4,0,2,0.73439807,FALSE,0,3426,0,0.55952381
77,4.00723021,0.00100722,0.24954893,0.15686275,36,9,FALSE,4049,34.33333333,36,0,18,0.7686746,FALSE,0,4049,1728530,0.08039216
79,3.82513612,0.00130387,0.2614286,0.15913978,62,9,FALSE,16961,52.29032258,62,0,31,0.78268184,FALSE,0,16961,5772768,0.06958464
81,4.7001696,2.30E-07,0.21275828,0.66666667,6,10,FALSE,17897,17.66666667,6,0,3,0.71537157,FALSE,0,17897,630,0.44166667
83,4.06533964,8.23E-05,0.24598191,0.27272727,24,9,FALSE,26904,32.33333333,24,0,12,0.76420464,FALSE,0,26904,169510,0.12019827
85,3.448005,0.00193438,0.29002278,0.59191656,236,8,FALSE,27801,96.30508475,236,0,118,0.81169192,FALSE,0,27801,5544654,0.06157614
87,4.00178524,8.00E-04,0.24988847,0.15384615,28,9,FALSE,32403,23.5,28,0,14,0.76909344,FALSE,0,32403,1385670,0.08503401
89,3.29027939,0.00160916,0.30392556,0.90192829,502,9,FALSE,35262,281.8007968,502,0,251,0.82382466,FALSE,0,35262,8479970,0.11971147
91,4.34053379,0,0.23038641,1,6,9,FALSE,40848,58,6,0,3,0.74303586,FALSE,0,40848,0,0.3625
93,3.91841471,0.00104246,0.25520525,0.15441176,34,10,FALSE,44114,32.17647059,34,0,17,0.77550656,FALSE,0,44114,2925624,0.06919671
95,4.11479068,0.00315432,0.24302573,0.10804598,60,10,FALSE,45648,16.56666667,60,0,30,0.76040072,FALSE,0,45648,9291794,0.04862745
97,4.5912702,9.19E-05,0.21780465,0.47619048,14,10,FALSE,45654,15.28571429,14,0,7,0.72374845,FALSE,0,45654,520508,0.21230159
99,4.73239311,0,0.21130958,1,4,10,FALSE,47702,21,4,0,2,0.71289284,FALSE,0,47702,0,0.6
101,3.43711506,0.00134558,0.29094167,0.3378933,172,8,FALSE,49335,128.9534884,172,0,86,0.81252961,FALSE,0,49335,7849784,0.0712844
103,3.71525484,6.44E-04,0.26916054,0.15584416,44,9,FALSE,55416,50.31818182,44,0,22,0.79113424,FALSE,0,55416,1606142,0.05872982
105,3.44746943,0.00435844,0.29006784,0.49563953,258,8,FALSE,56358,88.91472868,258,0,129,0.81173312,FALSE,0,56358,11957844,0.05608784
107,3.96322414,7.95E-04,0.25231982,0.17894737,40,9,FALSE,64003,51,40,0,20,0.77205968,FALSE,0,64003,4335496,0.091787
109,3.77755958,0.00350296,0.26472117,0.07807808,74,9,FALSE,64714,28.89189189,74,0,37,0.78634157,FALSE,0,64714,6766888,0.04077088
111,3.53601714,0.00873355,0.28280406,0.05555556,128,9,FALSE,66411,46.546875,128,0,64,0.80492176,FALSE,0,66411,22058730,0.03444681
113,3.79201999,2.21E-04,0.26371169,0.17894737,40,9,FALSE,71844,70.7,40,0,20,0.78522923,FALSE,0,71844,780540,0.08826467
115,3.89931268,1.40E-04,0.25645545,0.34285714,30,9,FALSE,72504,45.46666667,30,0,15,0.77697595,FALSE,0,72504,424972,0.08251664
117,3.48870838,0.0035136,0.28663903,0.28132992,138,8,FALSE,79185,65.47826087,138,0,69,0.80856089,FALSE,0,79185,10831672,0.04374952
119,3.31687941,0.00474053,0.3014882,0.24015962,298,9,FALSE,84491,123,298,0,149,0.82177851,FALSE,0,84491,20425622,0.05485874
121,4.91823619,0,0.20332492,1,4,11,FALSE,5874,9.5,4,0,2,0.69859722,FALSE,0,5874,0,0.55882353
123,3.79942872,0.00123414,0.26319746,0.17391304,46,9,FALSE,14789,38.82608696,46,0,23,0.78465933,FALSE,0,14789,2883200,0.05678274
127,4.38534321,7.12E-05,0.22803232,0.2,12,9,FALSE,33245,21,12,0,6,0.73958898,FALSE,0,33245,125140,0.18115942
129,4.91823619,0,0.20332492,1,4,11,FALSE,34338,9.5,4,0,2,0.69859722,FALSE,0,34338,0,0.55882353
132,4.20423101,9.73E-04,0.23785563,0.18095238,42,9,FALSE,35425,14.57142857,42,0,21,0.75352069,FALSE,0,35425,1256122,0.07039337
136,4.24564849,1.11E-04,0.23553528,0.42857143,16,9,FALSE,45957,22.625,16,0,8,0.75033473,FALSE,0,45957,140488,0.15711806
139,3.99491208,0.00293015,0.2503184,0.09986505,78,9,FALSE,50498,19.25641026,78,0,39,0.76962215,FALSE,0,50498,4477540,0.04552343
142,3.46924931,0.00300476,0.2882468,0.35839599,114,9,FALSE,64959,85.9122807,114,0,57,0.81005775,FALSE,0,64959,7897916,0.05636138
144,4.30340087,9.78E-04,0.23237435,0.0989011,28,9,FALSE,71391,16.35714286,28,0,14,0.74589224,FALSE,0,71391,2473772,0.08496241
146,4.07997858,1.26E-04,0.24509933,0.27777778,18,9,FALSE,73805,52.33333333,18,0,9,0.76307857,FALSE,0,73805,209160,0.13220816
148,3.35811836,0.01178991,0.29778581,0.05970149,136,8,FALSE,9497,68.57352941,136,0,68,0.81860628,FALSE,0,9497,30228794,0.04053254
157,4.59814335,4.44E-05,0.21747908,0.47619048,14,8,FALSE,54775,18.42857143,14,0,7,0.72321974,FALSE,0,54775,110138,0.20031056
160,4.75399447,2.03E-04,0.21034942,0.38095238,14,9,FALSE,55543,14.85714286,14,0,7,0.71123119,FALSE,0,55543,361918,0.18165785
162,3.59002053,0.0015034,0.27854994,0.30367347,100,8,FALSE,60793,57.2,100,0,50,0.80076765,FALSE,0,60793,3559602,0.04662316
164,4.3746318,1.36E-05,0.22859067,0.33333333,8,10,FALSE,69509,39.25,8,0,4,0.74041294,FALSE,0,69509,29236,0.26712329
166,3.96286709,0.00183833,0.25234255,0.11231884,48,8,FALSE,74685,23.125,48,0,24,0.77208715,FALSE,0,74685,3901182,0.06717687
168,3.48237079,0.0035485,0.28716069,0.41328829,224,9,FALSE,1813,80.46428571,224,0,112,0.8090484,FALSE,0,1813,10948556,0.04811923
170,4.78559314,9.93E-06,0.20896051,0.33333333,6,10,FALSE,8545,19.66666667,6,0,3,0.70880053,FALSE,0,8545,18526,0.36477987
173,4.70008034,2.54E-04,0.21276232,0.36111111,18,10,FALSE,21182,11.55555556,18,0,9,0.71537844,FALSE,0,21182,573044,0.17606838
175,5.08819066,0,0.19653352,1,6,11,FALSE,23161,18,6,0,3,0.6855238,FALSE,0,23161,0,0.48648649
177,4.29920557,6.49E-04,0.23260111,0.13071895,36,9,FALSE,23931,14.77777778,36,0,18,0.74621496,FALSE,0,23931,1703022,0.07830969
179,5.0967598,3.45E-04,0.19620309,0.1,10,11,FALSE,24948,10.8,10,0,5,0.68486463,FALSE,0,24948,806632,0.24285714
181,4.77684549,5.68E-06,0.20934317,0.8,12,10,FALSE,27133,18,12,0,6,0.70947342,FALSE,0,27133,12556,0.25714286
184,5.05650272,4.76E-04,0.19776515,0.21212121,24,10,FALSE,35673,6.91666667,24,0,12,0.68796133,FALSE,0,35673,2015770,0.16085271
