الا,یا
یا,ایها
ایها,الساقی
الساقی,ادر
ادر,کاسا
کاسا,و
و,ناولها
ناولها,که
که,عشق
عشق,آسان
آسان,نمود
نمود,اول
اول,ولی
ولی,افتاد
افتاد,مشکلها
به,بوی
بوی,نافهای
نافهای,کاخر
کاخر,صبا
صبا,زان
زان,طره
طره,بگشاید
بگشاید,ز
ز,تاب
تاب,جعد
جعد,مشکینش
مشکینش,چه
چه,خون
خون,افتاد
افتاد,در
در,دلها
مرا,در
در,منزل
منزل,جانان
جانان,چه
چه,امن
امن,عیش
عیش,چون
چون,هر
هر,دم
دم,جرس
جرس,فریاد
فریاد,میدارد
میدارد,که
که,بربندید
بربندید,محملها
به,می
می,سجاده
سجاده,رنگین
رنگین,کن
کن,گرت
گرت,پیر
پیر,مغان
مغان,گوید
گوید,که
که,سالک
سالک,بیخبر
بیخبر,نبود
نبود,ز
ز,راه
راه,و
و,رسم
رسم,منزلها
شب,تاریک
تاریک,و
و,بیم
بیم,موج
موج,و
و,گردابی
گردابی,چنین
چنین,هایل
هایل,کجا
کجا,دانند
دانند,حال
حال,ما
ما,سبکباران
سبکباران,ساحلها
همه,کارم
کارم,ز
ز,خود
خود,کامی
کامی,به
به,بدنامی
بدنامی,کشید
کشید,آخر
آخر,نهان
نهان,کی
کی,ماند
ماند,آن
آن,رازی
رازی,کز
کز,او
او,سازند
سازند,محفلها
حضوری,گر
گر,همیخواهی
همیخواهی,از
از,او
او,غایب
غایب,مشو
مشو,حافظ
حافظ,متی
متی,ما
ما,تلق
تلق,من
من,تهوی
تهوی,دع
دع,الدنیا
الدنیا,و
و,اهملها
صلاح,کار
کار,کجا
کجا,و
و,من
من,خراب
خراب,کجا
کجا,ببین
ببین,تفاوت
تفاوت,ره
ره,کز
کز,کجاست
کجاست,تا
تا,به
به,کجا
دلم,ز
ز,صومعه
صومعه,بگرفت
بگرفت,و
و,خرقه
خرقه,سالوس
سالوس,کجاست
کجاست,دیر
دیر,مغان
مغان,و
و,شراب
شراب,ناب
ناب,کجا
چه,نسبت
نسبت,است
است,به
به,رندی
رندی,صلاح
صلاح,و
و,تقوا
تقوا,را
را,سماع
سماع,وعظ
وعظ,کجا
کجا,نغمه
نغمه,رباب
رباب,کجا
ز,روی
روی,دوست
دوست,دل
دل,دشمنان
دشمنان,چه
چه,دریابد
دریابد,چراغ
چراغ,مرده
مرده,کجا
کجا,شمع
شمع,آفتاب
آفتاب,کجا
چو,کحل
کحل,بینش
بینش,ما
ما,خاک
خاک,آستان
آستان,شماست
شماست,کجا
کجا,رویم
رویم,بفرما
بفرما,از
از,این
این,جناب
جناب,کجا
مبین,به
به,سیب
سیب,زنخدان
زنخدان,که
که,چاه
چاه,در
در,راه
راه,است
است,کجا
کجا,همیروی
همیروی,ای
ای,دل
دل,بدین
بدین,شتاب
شتاب,کجا
بشد,که
که,یاد
یاد,خوشش
خوشش,باد
باد,روزگار
روزگار,وصال
وصال,خود
خود,آن
آن,کرشمه
کرشمه,کجا
کجا,رفت
رفت,و
و,آن
آن,عتاب
عتاب,کجا
قرار,و
و,خواب
خواب,ز
ز,حافظ
حافظ,طمع
طمع,مدار
مدار,ای
ای,دوست
دوست,قرار
قرار,چیست
چیست,صبوری
صبوری,کدام
کدام,و
و,خواب
خواب,کجا
اگر,آن
آن,ترک
ترک,شیرازی
شیرازی,به
به,دست
دست,آرد
آرد,دل
دل,ما
ما,را
را,به
به,خال
خال,هندویش
هندویش,بخشم
بخشم,سمرقند
سمرقند,و
و,بخارا
بخارا,را
بده,ساقی
ساقی,می
می,باقی
باقی,که
که,در
در,جنت
جنت,نخواهی
نخواهی,یافت
یافت,کنار
کنار,آب
آب,رکن
رکن,آباد
آباد,و
و,گلگشت
گلگشت,مصلا
مصلا,را
فغان,کاین
کاین,لولیان
لولیان,شوخ
شوخ,شیرین
شیرین,کار
کار,شهرآشوب
شهرآشوب,چنان
چنان,بردند
بردند,صبر
صبر,از
از,دل
دل,که
که,ترکان
ترکان,خوان
خوان,یغما
یغما,را
ز,عشق
عشق,ناتمام
ناتمام,ما
ما,جمال
جمال,یار
یار,مستغنی
مستغنی,است
است,به
به,آب
آب,و
و,رنگ
رنگ,و
و,خال
خال,و
و,خط
خط,چه
چه,حاجت
حاجت,روی
روی,زیبا
زیبا,را
من,از
از,آن
آن,حسن
حسن,روزافزون
روزافزون,که
که,یوسف
یوسف,داشت
داشت,دانستم
دانستم,که
که,عشق
عشق,از
از,پرده
پرده,عصمت
عصمت,برون
برون,آرد
آرد,زلیخا
زلیخا,را
اگر,دشنام
دشنام,فرمایی
فرمایی,و
و,گر
گر,نفرین
نفرین,دعا
دعا,گویم
گویم,جواب
جواب,تلخ
تلخ,میزیبد
میزیبد,لب
لب,لعل
لعل,شکرخا
شکرخا,را
نصیحت,گوش
گوش,کن
کن,جانا
جانا,که
که,از
از,جان
جان,دوستتر
دوستتر,دارند
دارند,جوانان
جوانان,سعادتمند
سعادتمند,پند
پند,پیر
پیر,دانا
دانا,را
حدیث,از
از,مطرب
مطرب,و
