SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
72,4.36314479,8.07E-05,0.22919249,0,2,12,2,1,FALSE,تصاریف,3.5,2,0,1,0,0.80209166,FALSE,0,تصاریف,392309,0.5
73,5.36271565,7.63E-05,0.18647269,0,2,13,2,1,FALSE,همتست,5,2,0,1,0,0.79882379,FALSE,0,همتست,95658,0.5
74,3.65393528,2.80E-07,0.27367753,0,2,11,2,1,FALSE,آنت,123,2,0,1,0,0.84630493,FALSE,0,آنت,537,0.50622407
75,3.61385289,1.80E-07,0.27671298,0,2,11,2,1,FALSE,اقرباست,270,2,0,1,0,0.85625832,FALSE,0,اقرباست,531,0.52030948
76,3.6783967,1.40E-07,0.27185757,0,2,12,2,1,FALSE,ناخوشیم,127,2,0,1,0,0.85011651,FALSE,0,ناخوشیم,220,0.51219512
77,3.40914943,0,0.2933283,1,2,10,2,1,FALSE,گذاشتی,1095.5,2,0,1,0,0.8706447,FALSE,0,گذاشتی,0,0.56879543
78,4.01184448,0,0.24926191,0.5,2,12,2,1,FALSE,آشکار,1343,2,0,1,0,0.87596538,FALSE,0,آشکار,0,0.50186846
79,3.82628101,8.07E-05,0.26135038,0,2,11,2,1,FALSE,همیرسند,35,2,0,1,0,0.836002,FALSE,0,همیرسند,134350,0.5
80,4.82593769,7.62E-05,0.20721362,0,2,12,2,1,FALSE,رسولان,42.5,2,0,1,0,0.8415779,FALSE,0,رسولان,118439,0.5
81,3.92283924,5.00E-08,0.25491741,0,2,12,2,1,FALSE,جذبها,81,2,0,1,0,0.84636596,FALSE,0,جذبها,39,0.51612903
82,3.8776929,1.70E-07,0.2578853,0,2,12,2,1,FALSE,جگرگرم,102.5,2,0,1,0,0.84943964,FALSE,0,جگرگرم,340,0.53421053
83,3.89666123,2.40E-07,0.25662996,0,2,11,2,1,FALSE,خاکهای,330,2,0,1,0,0.85771749,FALSE,0,خاکهای,539,0.50693374
84,3.33224616,3.10E-06,0.30009788,0,2,11,2,1,FALSE,میزدیم,658.5,2,0,1,0,0.8658067,FALSE,0,میزدیم,4914,0.50152555
85,3.33233199,5.30E-07,0.30009015,0.5,2,11,2,1,FALSE,بسوزیم,735.5,2,0,1,0,0.86661119,FALSE,0,بسوزیم,3816,0.52951764
86,3.65470775,4.00E-08,0.27361969,0,2,11,2,1,FALSE,نجست,88.5,2,0,1,0,0.84931758,FALSE,0,نجست,68,0.55379747
87,3.11295168,8.07E-05,0.32123852,0,2,11,2,1,FALSE,تنست,1336.5,2,0,1,0,0.8759099,FALSE,0,تنست,90602,0.50018727
88,4.11269419,7.62E-05,0.24314961,0,2,12,2,1,FALSE,لنگی,786,2,0,1,0,0.8676154,FALSE,0,لنگی,81582,0.50031867
89,3.33379109,1.51E-06,0.29995881,0,2,11,2,1,FALSE,مهاره,694.5,2,0,1,0,0.86510209,FALSE,0,مهاره,2153,0.50108382
90,3.87597631,0,0.25799951,0.5,2,12,2,1,FALSE,مکه,321.5,2,0,1,0,0.85866622,FALSE,0,مکه,0,0.51605136
91,4.0973307,1.62E-06,0.24406133,0,2,12,2,1,FALSE,کشتیش,848,2,0,1,0,0.86879161,FALSE,0,کشتیش,2026,0.50148017
92,0,0,0,0,1,0,1,1,FALSE,تیزپا,2671,1,0,0,0,0.8758988,FALSE,0,تیزپا,0,0
93,3.36031242,0,0.29759138,1,2,11,2,1,FALSE,قلاوز,610,2,0,1,0,0.86443076,FALSE,0,قلاوز,0,0.55555556
94,3.63840014,1.50E-07,0.27484608,0,2,11,2,1,FALSE,سنگلاخ,186.5,2,0,1,0,0.85429427,FALSE,0,سنگلاخ,698,0.5504451
95,4.15904214,1.40E-07,0.24043998,0,2,12,2,1,FALSE,حریر,38.5,2,0,1,0,0.82315246,FALSE,0,حریر,237,0.50675676
96,4.08479959,4.00E-08,0.24481005,0,2,12,2,1,FALSE,قاصدان,22.5,2,0,1,0,0.8249889,FALSE,0,قاصدان,58,0.5
97,3.87717792,1.00E-07,0.25791955,0,2,12,2,1,FALSE,تازد,51,2,0,1,0,0.83933089,FALSE,0,تازد,499,0.51020408
98,3.58707407,4.60E-07,0.27877874,0,2,11,2,1,FALSE,پریم,275,2,0,1,0,0.8558644,FALSE,0,پریم,1617,0.54365079
99,3.4256287,2.10E-07,0.29191722,0,2,11,2,1,FALSE,همهست,305.5,2,0,1,0,0.85639148,FALSE,0,همهست,491,0.50665557
100,3.51420479,1.72E-05,0.2845594,0,2,11,2,1,FALSE,ش,324.5,2,0,1,0,0.85719596,FALSE,0,ش,38939,0.50232919
101,3.11303751,2.98E-06,0.32122967,0.5,2,11,2,1,FALSE,اذخر,2120.5,2,0,1,0,0.88196849,FALSE,0,اذخر,156933,0.60395899
102,3.72071067,4.00E-08,0.26876586,0,2,11,2,1,FALSE,بخیزیم,69,2,0,1,0,0.845334,FALSE,0,بخیزیم,78,0.53968254
103,3.43953309,1.28E-06,0.29073714,0.5,2,11,2,1,FALSE,حطیم,716.5,2,0,1,0,0.86480249,FALSE,0,حطیم,12192,0.56640316
104,4.11286585,1.83E-05,0.24313946,0.5,2,12,2,1,FALSE,میگیر,1338,2,0,1,0,0.8759099,FALSE,0,میگیر,13905,0.5007485
105,3.83606557,1.01E-06,0.26068376,0.5,2,12,2,1,FALSE,موقف,854,2,0,1,0,0.86880271,FALSE,0,موقف,3509,0.50502661
106,3.83597974,2.00E-08,0.26068959,0,2,12,2,1,FALSE,عرفات,26,2,0,1,0,0.83536396,FALSE,0,عرفات,52,0.53191489
107,4.2536263,8.07E-05,0.23509352,0,2,12,2,1,FALSE,بلیغ,3.5,2,0,1,0,0.80267421,FALSE,0,بلیغ,80393,0.5
108,5.25319715,7.63E-05,0.19036026,0,2,13,2,1,FALSE,خطبه,21.5,2,0,1,0,0.83745561,FALSE,0,خطبه,89318,0.5
109,3.75572912,6.00E-08,0.26625988,0,2,12,2,1,FALSE,ترویه,74.5,2,0,1,0,0.84706502,FALSE,0,ترویه,212,0.54044118
